Date,Deep,Light,REM,Awake
9/1/2023,81,251,124,32
9/2/2023,71,232,117,45
9/3/2023,61,243,80,50
9/4/2023,39,366,112,53
9/5/2023,13,205,70,14
9/6/2023,50,339,190,23
9/7/2023,55,257,156,12
9/8/2023,33,220,128,17
9/9/2023,34,376,131,24
9/10/2023,28,259,120,40
9/11/2023,8,337,154,7
9/12/2023,32,264,106,26
9/13/2023,36,307,123,17
9/14/2023,10,255,125,21
9/15/2023,28,274,141,9
9/16/2023,25,234,126,25
9/17/2023,11,346,149,22
9/18/2023,47,306,192,24
9/19/2023,32,335,140,16
9/20/2023,33,289,131,7
9/21/2023,16,318,151,27
9/22/2023,57,280,140,14
9/23/2023,36,320,117,22
9/24/2023,21,357,104,14
9/25/2023,17,300,136,15
9/26/2023,62,269,110,27
9/27/2023,28,243,114,19
9/28/2023,91,284,113,54
9/29/2023,71,255,93,53
9/30/2023,43,340,108,78
10/1/2023,70,269,110,64
10/2/2023,72,275,90,90
10/3/2023,63,241,107,70
10/4/2023,60,231,123,51
10/5/2023,61,260,87,67
10/6/2023,80,288,88,42
10/7/2023,66,250,119,38
10/8/2023,51,288,93,78
10/9/2023,76,280,114,64
10/10/2023,77,216,55,74
10/11/2023,49,233,85,54
10/12/2023,78,210,114,40
10/13/2023,71,255,112,34
10/14/2023,83,256,113,52
10/15/2023,70,276,103,46
10/16/2023,71,213,117,35
10/17/2023,81,255,112,55
10/18/2023,51,275,93,41
10/19/2023,54,251,118,43
10/20/2023,68,251,129,35
10/21/2023,75,248,84,43
10/22/2023,73,250,161,60
10/23/2023,66,233,91,42
10/24/2023,64,252,148,45
10/25/2023,80,225,104,40
10/26/2023,79,241,112,35
10/27/2023,106,195,134,46
10/28/2023,93,193,93,53
10/29/2023,69,226,119,38
10/30/2023,59,255,102,39
10/31/2023,55,241,95,24
11/1/2023,80,238,105,42
11/2/2023,91,257,145,51
11/3/2023,70,223,82,27
11/4/2023,99,232,113,48
11/5/2023,98,235,107,59
11/6/2023,73,271,124,50
11/7/2023,76,202,90,31
11/8/2023,71,258,88,50
11/9/2023,68,274,131,51
11/10/2023,70,255,79,41
11/11/2023,104,278,116,55
11/12/2023,79,307,99,58
11/13/2023,45,277,85,37
11/14/2023,79,288,95,46
11/15/2023,87,249,114,37
11/16/2023,70,256,126,33
11/17/2023,85,269,91,41
11/18/2023,90,200,128,37
11/19/2023,65,290,92,58
11/20/2023,69,252,113,32
11/21/2023,55,252,77,37
11/22/2023,68,263,123,54
11/23/2023,86,274,108,79
11/24/2023,68,286,80,43
11/25/2023,111,253,125,56
11/26/2023,48,217,106,46
11/27/2023,82,239,119,33
11/28/2023,73,280,92,45
11/29/2023,89,280,125,64
11/30/2023,74,249,164,31
12/1/2023,74,216,81,42
12/2/2023,77,284,136,34
12/3/2023,56,228,94,19
12/4/2023,65,266,116,37
12/5/2023,83,249,126,47
12/6/2023,56,330,104,37
12/7/2023,66,272,95,50
12/8/2023,69,208,73,60
12/9/2023,83,349,113,64
12/10/2023,92,299,95,48
12/11/2023,72,251,120,44
12/12/2023,97,215,112,46
12/13/2023,74,255,66,54
12/14/2023,98,244,125,72
12/15/2023,69,306,84,85
12/16/2023,68,271,76,49
12/17/2023,63,279,86,36
12/18/2023,75,304,68,62
12/19/2023,50,272,110,36
12/20/2023,77,264,111,69
12/21/2023,55,365,98,93
12/22/2023,131,343,137,153
12/23/2023,115,226,134,47
12/24/2023,71,266,58,57
12/25/2023,77,320,114,68
12/26/2023,66,335,95,55
12/27/2023,97,254,114,43
12/28/2023,67,265,104,48
12/29/2023,70,344,118,44
12/30/2023,64,288,129,35
12/31/2023,62,277,134,41
1/1/2024,57,317,134,39
1/2/2024,63,325,141,43
1/3/2024,103,260,148,40
1/4/2024,51,283,151,28
1/5/2024,66,272,114,30
1/6/2024,84,293,124,27
1/7/2024,31,259,81,18
1/8/2024,88,276,114,40
1/9/2024,66,261,112,37
1/10/2024,78,234,110,48
1/11/2024,63,293,89,37
1/12/2024,63,239,107,14
1/13/2024,94,312,117,57
1/14/2024,88,253,110,34
1/15/2024,98,263,146,46
1/16/2024,62,237,101,47
1/17/2024,60,247,94,39
1/18/2024,78,273,133,44
1/19/2024,81,273,140,40
1/20/2024,107,211,114,18
1/21/2024,62,203,113,34
1/22/2024,101,247,147,53
1/23/2024,70,254,101,52
1/24/2024,83,246,104,36
1/25/2024,67,253,81,33
1/26/2024,51,257,115,24
1/27/2024,60,288,114,44
1/28/2024,81,282,95,56
1/29/2024,87,251,115,48
1/30/2024,92,225,79,42
1/31/2024,71,234,118,32
